1,1.0,2.0,24
2,2.0,4.0,21
3,0.0,0.0,20
4,9.0,10.0,24
5,3.0,4.0,18
6,5.0,3.0,18
7,4.0,3.0,24
8,4.0,6.0,24
9,9.0,7.0,24
10,3.0,3.0,18
11,10.0,10.0,20
12,7.0,7.0,22
13,2.0,2.0,18
14,6.0,7.0,21
15,8.0,9.0,20
16,8.0,6.0,19
17,10.0,10.0,24
18,4.0,2.0,19
19,10.0,9.0,22
20,3.0,5.0,23
21,10.0,8.0,22
22,9.0,10.0,22
23,3.0,2.0,24
24,2.0,0.0,20
25,8.0,10.0,23
26,5.0,4.0,22
27,1.0,3.0,22
28,5.0,3.0,19
29,4.0,6.0,20
30,3.0,1.0,23
31,6.0,7.0,24
32,5.0,5.0,19
33,4.0,4.0,24
34,7.0,5.0,20
35,4.0,4.0,23
36,7.0,6.0,23
37,1.0,2.0,22
38,4.0,5.0,19
39,6.0,7.0,18
40,9.0,10.0,18
41,5.0,6.0,24
42,0.0,2.0,18
43,9.0,7.0,21
44,9.0,7.0,18
45,4.0,6.0,23
46,6.0,4.0,19
47,6.0,4.0,24
48,2.0,2.0,19
49,2.0,0.0,18
50,10.0,10.0,24
51,2.0,1.0,22
52,9.0,10.0,21
53,4.0,3.0,24
54,5.0,6.0,18
55,4.0,3.0,21
56,2.0,2.0,22
57,5.0,6.0,21
58,3.0,1.0,22
59,5.0,7.0,20
60,7.0,7.0,20
61,1.0,0.0,20
62,1.0,0.0,22
63,3.0,3.0,21
64,10.0,10.0,24
65,10.0,10.0,18
66,2.0,3.0,24
67,4.0,3.0,24
68,9.0,8.0,21
69,2.0,0.0,24
70,4.0,4.0,23
71,5.0,5.0,18
72,9.0,7.0,18
73,10.0,10.0,23
74,6.0,4.0,23
75,9.0,10.0,23
76,1.0,0.0,18
77,9.0,10.0,22
78,5.0,5.0,22
79,0.0,0.0,18
80,3.0,1.0,22
81,8.0,8.0,18
82,2.0,2.0,19
83,3.0,4.0,24
84,10.0,10.0,20
85,0.0,1.0,22
86,3.0,4.0,18
87,10.0,10.0,24
88,5.0,3.0,21
89,5.0,5.0,20
90,3.0,1.0,22
91,3.0,1.0,19
92,2.0,2.0,24
93,1.0,3.0,18
94,2.0,1.0,20
95,10.0,9.0,23
96,10.0,10.0,23
97,9.0,7.0,23
98,5.0,6.0,18
99,7.0,9.0,21
100,5.0,5.0,22
101,5.0,7.0,19
102,3.0,4.0,18
103,7.0,8.0,22
104,7.0,6.0,22
105,7.0,8.0,20
106,0.0,1.0,22
107,8.0,9.0,19
108,9.0,7.0,18
109,4.0,5.0,20
110,6.0,5.0,22
