ancho_pantalla,alto_pantalla,velocidad_scroll,tiempo_carga_ms,so
1465.3428306022465,717.1488381572756,698.2257904269168,878.4865175311606,0
1338.3471397657631,713.5903069939375,754.1750805419521,895.1016144389536,0
1495.5377076201385,552.5228192843982,710.3928408432286,909.6442317881373,0
1670.605971281605,728.3891769958275,816.562707041918,1042.029219246927,0
1319.1693250553328,855.9394898186094,979.576779719287,787.9174037269885,0
1319.172608610164,615.0921457107846,684.3436764288193,773.047951273101,0
1681.8425631014784,893.817918126071,950.1230746652622,1085.4929613214463,0
1519.4869458305818,826.5329785301205,682.7491891479668,830.6032887178053,0
1272.1051228130095,679.8920013634754,672.8559181254674,710.5446969634401,0
1474.5120087171929,751.0164435194583,922.789192751482,827.2305086850195,0
1273.3164614375075,959.798616916924,938.2904567011425,850.4920897133999,0
1272.8540492859486,856.0257376207039,927.7114905143982,1133.2444091588648,0
1414.3924543132068,769.0540385877778,602.6303887672789,1038.7239318565105,0
983.3439510684404,739.4780019646819,730.1073532891924,1072.1280924948364,0
1021.0164334973935,777.1930884541991,923.4482888004982,1022.9960463520179,0
1253.5424941518054,706.5883730469236,806.2312760845842,1041.9365507422972,0
1163.4337759331152,515.4300593137182,638.9460730703804,796.7876810129522,0
1428.8494665190547,1013.0613492641677,868.7476908688162,870.2096766969773,0
1184.395184895758,786.6389999039282,692.7789111512794,751.5127030464677,0
1083.5392597329417,815.7776718147045,1069.1787272588317,868.4267954194449,0
1659.1297537843109,761.051070014771,1031.7262193627387,1002.6157486402111,0
1320.844739902693,679.7859839130494,890.614613953335,920.187492721837,0
1379.5056409375848,745.6890622861475,1004.151005715466,1096.7221228440442,0
1081.0503627573087,576.0726285366827,809.7187025185071,728.7876311659171,0
1257.1234550949634,1041.2503797663965,914.8156241562524,975.035752604736,0
1388.1845179419731,619.8585601893125,1021.6580442953112,712.7545797196022,0
1135.8012845155395,644.1640459383384,836.8248022691469,914.1264703760463,0
1441.1396036691344,715.1688954736319,761.7219242728574,1011.0500133834719,0
1245.872262016239,922.5690869822853,544.3067062734326,867.8246149763671,0
1307.6612500413446,769.7410799115185,787.529971141776,982.6689906130434,0
1245.6586775541207,619.6637044763445,923.5134776843468,756.04014977506,0
1736.4556369017876,918.5206032908807,941.8450141351444,650.4465032705425,0
1363.3005550524133,855.7200752142578,875.6547598577615,983.5544433731704,0
1154.4578142088199,832.6121948659743,718.805135755664,1161.60153511136,0
1530.5089824206377,853.8881089405008,503.4767646578614,750.5932589745162,0
1121.8312700057954,1055.3234280698941,725.7177352992898,1083.3291270160194,0
1407.7727190009512,1030.2113874043334,754.3482693419073,906.5135113224617,0
974.0659752240449,685.5941588396046,753.0606549214979,699.6462717460386,0
1100.3627902203139,962.8661991373383,892.7834535466886,730.2742047971756,0
1405.3722471738247,813.980182771068,1097.851461652226,902.3677160040975,0
1513.6933159990822,827.89149793653,818.5293802761639,839.3306568113844,0
1400.2736562379941,564.9275002028005,767.4902316265308,703.0630534862642,0
1342.870343522352,747.5537081534164,761.1167280493861,645.8941078161893,0
1305.7792608821424,670.4611691596122,818.6577150361571,772.9921008110241,0
1070.2956019265146,867.3670577871972,675.7559359477401,929.0713512496677,0
1222.0311583210582,896.5296600483366,818.0297838119083,899.0398871095293,0
1273.8722458080424,519.0616378780426,867.6218504497699,824.8143063749883,0
1577.424445243783,765.3558163194875,831.4529095361733,930.2830791437224,0
1434.7236579136923,902.6233805753102,868.6312901007171,1056.004007979403,0
1013.3919689274533,745.5985245223866,865.0621414022803,959.1189765651222,0
1430.816793878959,855.4876374002837,534.2154976630334,881.8036992915629,0
1288.9835439167366,810.13985611525,895.5305237593104,1039.2108009991034,0
1230.6155999388084,808.9992278343152,699.347773150632,756.0224546675557,0
1488.3352577681735,735.4422026318043,635.6241255494064,866.2620690666972,0
1572.19990449919,622.0103035037148,634.3322258217506,869.8368096599448,0
1552.2560238232397,633.4163823089967,865.0312415708794,714.4570112335732,0
1198.1564953554723,853.1223017346381,766.6137609162721,837.0188756573464,0
1304.157524829757,770.334990662266,547.7046824021884,588.7560478657045,0
1432.2526862807129,751.3785306471331,871.7056722788425,1186.826707149443,0
1561.1090254244718,717.1331949213177,584.0587803801759,759.387931734553,0
1270.165152430942,731.3773385423098,820.9732037777317,1137.9171197131968,0
1328.8682046672366,893.6294153385768,835.7748388509581,905.7126758579238,0
1144.7330051987944,727.7707101758368,932.8365622542567,984.7296198233938,0
